Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ROC_Activity_Hdb_1979,,,2019-06-24 12:14:56,2019-06-24 12:15:01,4.965s,PASSED
,,,,,,
Test Cases/ROC_Activity_Hdb_1979/Roc_hogan_connector_activity_Hdb_1979,,,2019-06-24 12:14:56,2019-06-24 12:15:01,4.566s,PASSED
"response = sendRequest(findTestObject(""ROC_Activity_Hdb_1979/Roc_hogan_connector_activity_Hdb_1979""))",,,2019-06-24 12:14:57,2019-06-24 12:15:00,3.045s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-24 12:15:00,2019-06-24 12:15:00,0.019s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].action"", ""FileWrite"")",,,2019-06-24 12:15:00,2019-06-24 12:15:00,0.087s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].target.annKeyword"", ""ActivityID"")",,,2019-06-24 12:15:00,2019-06-24 12:15:00,0.034s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].target.read"", ""true"")",,,2019-06-24 12:15:00,2019-06-24 12:15:00,0.031s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].target.value"", ""NAF"")",,,2019-06-24 12:15:00,2019-06-24 12:15:00,0.024s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].target.resourceType"", ""File"")",,,2019-06-24 12:15:00,2019-06-24 12:15:00,0.029s,PASSED
slurper = new groovy.json.JsonSlurper(),,,2019-06-24 12:15:00,2019-06-24 12:15:00,0.003s,PASSED
result = slurper.parseText(response.getResponseBodyContent()),,,2019-06-24 12:15:00,2019-06-24 12:15:00,0.009s,PASSED
activityid = annText,,,2019-06-24 12:15:00,2019-06-24 12:15:00,0.003s,PASSED
"println(""activityid:- "" + activityid)",,,2019-06-24 12:15:00,2019-06-24 12:15:00,0.009s,PASSED
DataBase_Name = value,,,2019-06-24 12:15:00,2019-06-24 12:15:00,0.005s,PASSED
"activity_url = ""http://localhost:9090/hogan-connector/activity/0000001979""",,,2019-06-24 12:15:00,2019-06-24 12:15:00,0.002s,PASSED
"println(""activity_url is :- "" + activity_url)",,,2019-06-24 12:15:00,2019-06-24 12:15:00,0.003s,PASSED
"callTestCase(findTestCase(""ROC_Activity_Hdb_1979/Activity_Controller_Verify_Response_1979""), [""URLS"":activity_url, ""D_Name"":DataBase_Name], CONTINUE_ON_FAILURE)",,,2019-06-24 12:15:00,2019-06-24 12:15:01,0.674s,PASSED
