Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ROC_Activity_Sort_202,,,2019-06-28 17:56:24,2019-06-28 17:56:30,5.929s,PASSED
,,,,,,
Test Cases/ROC_Activity_Sort_202/Roc_hogan_connector_activity_Sort_202,,,2019-06-28 17:56:25,2019-06-28 17:56:30,5.327s,PASSED
"response = sendRequest(findTestObject(""ROC_Activity_Sort_202/Roc_hogan_connector_activity_Sort_202""))",,,2019-06-28 17:56:26,2019-06-28 17:56:29,3.258s,PASSED
"verifyResponseStatusCode(response, 200)",,,2019-06-28 17:56:29,2019-06-28 17:56:29,0.036s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].action"", ""call"")",,,2019-06-28 17:56:29,2019-06-28 17:56:29,0.133s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].target.annKeyword"", ""ActivityID"")",,,2019-06-28 17:56:29,2019-06-28 17:56:29,0.021s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].target.read"", ""true"")",,,2019-06-28 17:56:29,2019-06-28 17:56:29,0.063s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].target.annText"", ""202 RE-SORT MON REC TYPE-80"")",,,2019-06-28 17:56:29,2019-06-28 17:56:29,0.030s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].target.value"", ""0000000202"")",,,2019-06-28 17:56:29,2019-06-28 17:56:29,0.040s,PASSED
"verifyElementPropertyValue(response, ""results[0].resolutions[0].target.resourceType"", ""SORT"")",,,2019-06-28 17:56:29,2019-06-28 17:56:29,0.039s,PASSED
slurper = new groovy.json.JsonSlurper(),,,2019-06-28 17:56:29,2019-06-28 17:56:29,0.015s,PASSED
result = slurper.parseText(response.getResponseBodyContent()),,,2019-06-28 17:56:29,2019-06-28 17:56:29,0.000s,PASSED
activityid = annText,,,2019-06-28 17:56:29,2019-06-28 17:56:29,0.016s,PASSED
"str = activityid.split("" "")",,,2019-06-28 17:56:29,2019-06-28 17:56:29,0.002s,PASSED
activity_ID = str[0],,,2019-06-28 17:56:29,2019-06-28 17:56:29,0.000s,PASSED
"println(""activity_ID:- "" + activity_ID)",,,2019-06-28 17:56:29,2019-06-28 17:56:29,0.000s,PASSED
activity_id = value,,,2019-06-28 17:56:29,2019-06-28 17:56:29,0.000s,PASSED
"activity_url = ""http://localhost:9090/hogan-connector/activity/0000000"" + activity_ID",,,2019-06-28 17:56:29,2019-06-28 17:56:29,0.000s,PASSED
"println(""activity_url is :- "" + activity_url)",,,2019-06-28 17:56:29,2019-06-28 17:56:29,0.000s,PASSED
"callTestCase(findTestCase(""ROC_Activity_Sort_202/Activity_Controller_Verify_Response_202""), [""URLS"":activity_url, ""Activity_Id"":activity_id], CONTINUE_ON_FAILURE)",,,2019-06-28 17:56:29,2019-06-28 17:56:30,0.947s,PASSED
